,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX,Net_Buy_Sell,Director_Shareholding,Sentiment_Score
2449.TW,-0.2514241709318482,0.3139603195835845,0.04437635396751084,5.848950921183954,-4.842734551101249,0.34414501094122857,0.31396031958358245,0.28377562822594726,-0.026836150686406844,-0.00389241953015601,-1.3341327629671416e-05,0.001831634861407785,0.0
5388.TW,-0.07506133192608129,0.2676928484192431,0.14004334037092997,4.422418341021044,-3.8354754643896474,0.2597837987522483,0.2676928484192535,0.27560189808626784,0.24257906924163034,0.007040427766393187,-5.0125269151630886e-05,0.0006990554165362804,0.0
2376.TW,-0.3109670961027813,0.32550383413723716,0.14511388999163996,6.168732973414508,-4.92244680297604,0.33988833676829716,0.32550383413723516,0.311119331506187,0.19789475478939608,-0.020121667564940424,-0.0001336142055120804,0.003900127185129435,0.0
2603.TW,-0.3133654777605161,0.32676014075026294,0.18362047787223867,6.387035127258726,-5.137431758541856,0.3412605973101575,0.3267601407502584,0.31225968419035355,0.10861086540551917,-0.03996227047904199,0.0005955675889933712,0.00564514965313672,0.0
3035.TW,-0.2477098231847188,0.30960983299456313,0.2943266410850587,5.692105205888095,-4.633195989323758,0.32636370394822944,0.30960983299456357,0.2928559620408942,0.21786961928846862,-0.07522779134252604,-0.0003672915410755896,-0.0027764636234708013,0.0
2356.TW,-0.327136630133718,0.3291637781926634,0.0182362225675255,6.413281862069969,-5.1286311688820465,0.319247205662943,0.329163778192679,0.33908035072237674,0.300919407551466,0.0011205573885716075,-2.176182624965491e-05,-0.0013367764739439074,0.0
2357.TW,-0.0984780681262226,0.274168508913743,0.4021405348824775,4.875940327047862,-4.237194844662943,0.2893936515882741,0.2741685089137359,0.2589433662392466,0.3478801496300155,-0.006756749731120217,-0.00012655602378253998,-0.0008953156550398475,0.0
2383.TW,-0.21955846289042802,0.30333182083875987,0.35260713643010305,5.5490986223521155,-4.566816226813414,0.3160523907815792,0.3033318208387597,0.29061125089593165,0.21359926227719922,-0.007106960961103769,-6.800201773071307e-05,-0.00282695689056405,0.0
2360.TW,0.041496458195937294,0.24039940878600335,0.5437714981256494,3.5738142588092496,-3.3365289933243876,0.230641879882013,0.24039940878600843,0.2501569376899909,0.3180979781235912,0.027179988268024438,-4.63809581565972e-05,-0.0008816124046966805,0.0
2454.TW,-0.0895870757503922,0.27459125612846513,1.422042413026511,4.7637666274518,-4.162200504032327,0.26005578773936167,0.274591256128473,0.28912672451756705,0.15089131291983512,0.06557986634432392,0.0005744791049609331,-0.008183435032612138,0.0
