ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,prev_1d_change,prev_3d_change,prev_5d_change,additional_win_rate,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,total_win_rate
2360.TW,0.09987545180173615,0.08604561674884337,-0.2237759802160243,0.33364030678884626,0.0715943485046804,2.5041736227044975,0.9868421052631637,-11.014492753623184,15,46.160794941282745,45.988700564971744,46.22155079780601,48.739495798319325,47.3469387755102,249.45748087789002
2454.TW,0.127719904529162,0.12257649995045534,-0.6759005153073719,0.30702552317453663,0.27970162055643555,4.081632653061229,-0.390625,-5.2044609665427455,0,48.057813911472444,47.96610169491525,48.059971185719164,47.05882352941176,48.57142857142857,239.71413889294718
6505.TW,-0.026113086940692518,-0.017697893007105014,-0.06826215370492277,-0.08158925636416979,-0.0699188871644451,-1.2139651490655101,-1.809961572248986,1.718747615814209,0,45.61878952122855,46.066384180790955,45.887471957578065,36.134453781512605,43.26530612244898,216.97240556355916
2412.TW,0.012156464241193987,0.019231464438900996,-0.13820297514420163,0.020874530826033872,0.02300406236921889,0.8298755186721962,0.8298755186721962,1.673640167364021,0,38.843721770551035,39.081920903954796,38.96074664494494,41.17647058823529,40.40816326530612,198.47102317299218
2308.TW,0.10380162326573304,0.1000925991127978,0.10622988903170089,0.27057841217345013,0.05070490298594081,4.283801874163329,-2.988792029887921,-5.575757575757578,0,48.96115627822945,49.18079096045198,49.07325227381762,50.42016806722689,46.93877551020408,244.57414308993003
2881.TW,0.08360546503930968,0.0802355535042455,0.4214810286759069,0.2627389726068858,0.1509523611564058,3.510897795945467,-4.894328644268498,-6.761174650574564,15,48.23848238482385,48.30508474576271,48.717782475182844,57.14285714285714,51.42857142857142,268.83277817719795
3017.TW,0.30139952722204433,0.2867446206220551,-0.3602828562387351,0.5614893651698809,0.353521047875242,5.520504731861209,-0.8888888888888835,-3.183791606367581,15,51.490514905149055,51.920903954802256,51.40266420858449,51.26050420168067,52.6530612244898,273.7276484947063
3006.TW,0.1300057935348971,0.1336492363049756,-0.596797226065606,-0.006930067305293127,0.09438735426714777,-1.0976948592200775,-8.434962320173279,-7.304525408474827,15,50.58717253839205,50.44491525423729,50.830044642462816,44.537815126050425,46.12244897959184,257.5223965407344
2408.TW,-0.0036898411349546344,-0.0019009959296681614,-0.7632013385628376,-0.08920599267125887,-0.03759831595164009,-2.1001664292597977,-9.552241083401347,-10.22222448278356,0,47.24480578139115,47.68361581920903,47.72518292765727,42.016806722689076,43.26530612244898,227.9357173733955
2344.TW,0.05559583621899325,0.06771762530863121,-0.5314393522529982,-0.11520362171309981,-0.03310064102006697,0.20964040360935687,-5.346536164236538,-5.719924028085499,0,46.612466124661246,47.139830508474574,46.98619965675363,39.49579831932773,41.224489795918366,221.45878440513553
8046.TW,0.17504746769785862,0.14975409447496082,-0.3249766602769266,-0.1576170147571745,-0.124232406069574,2.8328611898017053,-4.973821989528792,-1.0899182561307952,15,49.77416440831075,49.36440677966102,49.661937748710706,42.016806722689076,47.3469387755102,253.16425443488174
3037.TW,0.18725465301477673,0.16512439237981763,0.23475748845575975,0.12662373018952447,0.04061330289167433,2.09973753280841,-5.1219512195122,-1.7676767676767624,30,50.04516711833785,49.894067796610166,50.10172492493617,43.69747899159664,44.08163265306123,267.82007148454204
2891.TW,0.052500640476192836,0.05828475544106397,-0.23051896384813894,0.21665939688674235,0.1349672394312362,0.9859111947073007,-3.1081122321051535,-4.016064421098475,15,48.69015356820235,48.841807909604526,48.91840702117381,53.78151260504202,49.795918367346935,265.02779947136963
2882.TW,0.04487332322040195,0.03841892176250397,0.12545409842690106,0.2965890505572974,0.14133776525033007,2.499999999999991,-4.205602923032714,-5.9633049463090115,15,47.60614272809395,47.50706214689265,47.7625718913302,52.94117647058824,46.93877551020408,257.7557287471091
2353.TW,0.10837931224361641,0.10675824207403907,-0.19460981197480673,0.010616680363950226,0.13126922730966945,-0.4329020771356551,-2.3354533115865883,-2.851105633844797,15,49.23215898825654,49.074858757062145,49.30629650768174,42.857142857142854,43.673469387755105,249.1439264978984
1513.TW,0.22692052919069725,0.24504680064198528,0.6818000886586987,0.5586639397695399,0.3058408225423431,3.1026252983293645,-3.3557046979865723,-5.470459518599558,15,48.509485094850945,49.02542372881356,48.66763569237902,48.739495798319325,45.714285714285715,255.65632602864858
8996.TW,0.23846902188549057,0.3007077369628774,-0.7144598985750685,0.5217799756859661,0.03610552916668944,4.545454545454541,0.2564102564102555,-2.372034956304614,15,48.23848238482385,48.79237288135593,48.06091870795306,50.42016806722689,44.89795918367347,255.40990122503317
6282.TW,0.06994749632533183,0.06691710402366659,-0.21477518457753242,-0.03411019100461099,-0.1289724900887843,1.2261600915111526,-4.621307321701595,-5.3503145837480055,0,48.148148148148145,48.340395480225986,48.45225347387635,44.537815126050425,41.63265306122449,231.1112652895254
1795.TW,0.127632010556477,0.12718005510148844,-0.034116513989489554,0.03481723685087277,0.020067457421763264,1.0600706713780994,-0.8665511265164683,-0.17452006980802626,0,47.78681120144535,47.88841807909604,47.876969119984835,47.89915966386555,45.714285714285715,237.16564377867752
2388.TW,0.17803706772685618,0.11979923314386615,-0.04679609203594751,-0.126628543570135,-0.014403249509776218,-1.6393442622950838,-5.511811023622048,-3.2258064516129004,15,46.070460704607044,45.070621468926554,45.468169271226095,36.134453781512605,45.30612244897959,233.0498276752519
