Date,Open,High,Low,Close,Adj Close,Volume
2020-10-14,246.0,247.5,242.5,246.5,182.13116455078125,1865362
2020-10-15,244.0,246.0,242.5,243.0,179.54513549804688,1814367
2020-10-16,244.0,245.5,242.0,242.5,179.17568969726562,1165721
2020-10-19,243.0,244.0,241.5,242.0,178.80624389648438,1584894
2020-10-20,241.0,241.5,236.0,237.5,175.48135375976562,3299176
2020-10-21,237.0,243.5,236.5,242.0,178.80624389648438,3456880
2020-10-22,240.0,242.5,236.0,241.5,178.43682861328125,2181627
2020-10-23,241.5,246.0,241.5,242.5,179.17568969726562,2504696
2020-10-26,251.5,258.5,247.5,247.5,182.87002563476562,7149523
2020-10-27,245.5,249.0,244.5,248.5,183.60891723632812,2146543
2020-10-28,246.5,252.0,246.5,249.5,184.34776306152344,3119894
2020-10-29,246.0,248.0,243.5,245.5,181.39230346679688,2691667
2020-10-30,243.5,248.0,242.0,242.5,179.17568969726562,3232187
2020-11-02,242.5,244.0,240.0,242.0,178.80624389648438,1538573
2020-11-03,243.5,244.0,242.0,243.0,179.54513549804688,1533114
2020-11-04,243.0,243.5,239.5,242.0,178.80624389648438,2124039
2020-11-05,243.0,245.0,242.0,243.0,179.54513549804688,1056185
2020-11-06,245.0,245.0,242.0,245.0,181.0228729248047,2075969
2020-11-09,247.5,251.0,246.0,251.0,185.45606994628906,2716519
2020-11-10,247.5,248.0,240.5,241.5,178.43682861328125,4793749
2020-11-11,240.5,248.5,238.5,248.5,183.60891723632812,5760737
2020-11-12,243.5,250.0,243.0,244.0,180.2839813232422,9742349
2020-11-13,243.0,247.0,242.0,246.0,181.76171875,3664063
2020-11-16,247.5,250.5,247.0,249.5,184.34776306152344,5496021
2020-11-17,250.0,253.0,249.5,250.0,184.71722412109375,3676396
2020-11-18,253.0,255.0,250.5,251.5,185.82550048828125,4681556
2020-11-19,252.0,252.5,248.5,251.0,185.45606994628906,3513835
2020-11-20,250.0,251.5,248.0,248.5,183.60891723632812,3088225
2020-11-23,249.5,252.0,249.0,251.0,185.45606994628906,2824090
2020-11-24,251.0,252.5,249.5,249.5,184.34776306152344,2460056
2020-11-25,250.5,251.0,249.0,250.5,185.08663940429688,2327850
