Date,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
2020-04-14,365.5,13428.196,345.4,331.1,58.486993541939356,-0.8063231867793661,-6.709299770235023,374.23073150318567,331.1,287.9692684968144,14.693472154125127,19.8693159481324
2020-04-15,365.5,8618.815,348.3,333.375,58.486993541939356,0.7877290845495395,-5.20989399927811,378.66945330280544,333.375,288.08054669719456,14.143938428830475,20.05080832636455
2020-04-16,361.5,6466.648,351.7,335.675,56.168892339787114,1.7085651480174988,-3.826202169818988,381.76976651421484,335.675,289.5802334857852,13.490799969628299,19.968684793528848
2020-04-17,368.0,13317.197,355.1,339.0,59.01184429707067,2.929065594916665,-2.4751486168718575,384.34203347888166,339.0,293.65796652111834,13.777171400369136,20.59902317107098
2020-04-20,370.0,5552.576,358.0,343.8,59.87424988412211,4.01146263342838,-1.1778263668118099,380.0069054187182,343.8,307.59309458128183,13.293087728914198,21.184337378788673
2020-04-21,353.5,11227.46,358.65,346.425,50.444400043162105,3.4975405110836846,-0.2427529912327109,377.0162977822118,346.425,315.83370221778824,13.62929574827747,20.51439469529699
2020-04-22,346.0,12064.371,358.3,348.325,46.83374822161335,2.456746363821196,0.2971468797780705,373.3475398391131,348.325,323.3024601608869,13.477203194829078,19.179751412432775
2020-04-23,351.0,8791.011,358.25,349.375,49.43234495923915,2.0121726431589195,0.6401520324542403,372.9543871845726,349.375,325.7956128154274,13.01454582376986,17.94043979263029
2020-04-24,348.5,6025.467,358.1,350.075,48.16473196986424,1.4414989572479158,0.8004214174129755,372.65657434724267,350.075,327.4934256527573,12.442078264929155,16.9318310203647
2020-04-27,372.0,13194.986,360.15,351.5,58.84750840526933,2.85260648016947,1.2108584299642744,375.77550205454025,351.5,327.22449794545975,13.374786960291358,17.27661676731431
2020-04-28,375.0,10595.852,361.1,353.25,59.981367558819024,4.164982955618939,1.8016833350952073,378.9608926332788,353.25,327.5391073667212,13.240873605984833,17.64972295217637
2020-04-29,398.0,31507.975,364.35,356.325,67.39788490050331,6.980491784468313,2.8374450249698286,387.4317114944679,356.325,325.2182885055321,14.080811205557344,19.121225269875957
2020-04-30,415.0,21757.679,369.7,360.7,71.58900398722258,10.462950362233869,4.362546092422637,398.29574444003015,360.7,323.10425555996983,14.325038976588962,21.014624991696415
2020-05-04,399.5,11748.303,372.85,363.975,63.565351055308284,11.835669186839539,5.857170711306017,403.07803696645556,363.975,324.8719630335445,14.516107621118321,22.201500870549296
2020-05-05,401.5,7287.899,376.0,367.0,64.12409351936144,12.935825882050892,7.272901745454992,407.8472765310002,367.0,326.1527234689998,14.15781421960987,23.14023550575387
2020-05-06,408.0,8553.772,381.45,370.05,65.95161164695594,14.168873710127627,8.652096138389519,413.49525290523684,370.05,326.6047470947632,13.717970346780593,24.171503361805865
2020-05-07,411.0,8084.23,387.95,373.125,66.79240414234992,15.212784416340128,9.964233793979641,418.95716665181806,373.125,327.29283334818194,13.238115322010552,25.34614768090936
2020-05-08,411.5,6577.964,394.0,376.125,66.93893951730654,15.897184150081102,11.150823865199934,423.72318799072104,376.125,328.52681200927896,12.792535656152655,26.554802438537106
2020-05-11,410.0,6480.94,400.15,379.125,65.99804261568504,16.132572156287495,12.147173523417447,427.3182308524758,379.125,330.9317691475242,12.485925966427464,27.24040555919562
2020-05-12,407.0,5093.041,403.65,381.9,64.05869362987677,15.893829743414585,12.896504767416875,429.80156573641466,381.9,333.9984342635853,12.022645540254073,27.58595113510272
2020-05-13,420.0,10514.74,408.15,384.625,68.39295930599508,16.56269161659492,13.629742137252483,434.6388730753773,384.625,334.6111269246227,12.092456573093068,28.398664554788894
2020-05-14,411.0,8304.088,409.45,386.9,62.75104514621932,16.180031356361894,14.139799981074365,437.3644429276697,386.9,336.43555707233025,12.192995389300707,29.10198916592123
2020-05-15,411.0,5763.797,409.05,389.375,62.75104514621932,15.695838487445826,14.451007682348656,439.46778890219605,389.375,339.28221109780395,12.107781432922085,29.539867214539225
2020-05-18,440.5,25249.99,413.15,393.0,71.64342063342505,17.490891499121915,15.058984445703308,446.7410457657829,393.0,339.2589542342171,14.171511330570508,31.33381758914272
2020-05-19,462.0,21999.164,419.2,397.6,76.11820224416283,20.413045380074664,16.12979663257758,458.0140712086182,397.6,337.18592879138185,14.837831949815472,33.310516416123946
2020-05-20,470.0,18417.567,425.4,403.425,77.53854173608094,23.108031521788973,17.52544361041986,468.0278443646251,403.425,338.82215563537494,14.992272524828651,35.4810642028017
2020-05-21,464.5,9007.736,430.75,409.35,74.26825558237324,24.517402071316837,18.923835302599255,473.5341880839821,409.35,345.16581191601796,14.742824487340892,37.169767074503284
2020-05-22,442.0,15401.024,433.8,413.9,62.630742121474846,23.54733737853877,19.848535717787158,473.64161028964696,413.9,354.158389710353,15.439765595387971,37.0343874571065
2020-05-25,460.0,11317.742,438.8,419.475,67.07552455692453,23.954866894128145,20.669801953055355,474.37807368444794,419.475,364.5719263155521,15.622639481431689,37.083786320672985
2020-05-26,460.0,6684.259,444.1,423.875,67.07552455692453,24.001166464528637,21.336074855350013,476.9276860771443,423.875,370.8223139228557,15.221022375615139,37.402169221459054
2020-05-27,464.5,8149.23,448.55,428.35,68.17311311408673,24.12289784914981,21.893439454109973,479.210692091239,428.35,377.489307908761,14.598092205928342,37.69781048647469
2020-05-28,460.0,10968.535,453.45,431.45,65.81045814592534,23.584392263321377,22.231630015952256,482.09079383264157,431.45,380.8092061673584,14.662514191219175,37.46083494917726
2020-05-29,463.0,9537.183,458.65,433.85,66.64050026584684,23.13303441387376,22.411910895536558,485.68058942362046,433.85,382.0194105763796,14.57947746327495,37.24078623597251
2020-06-01,461.5,8722.266,460.75,436.95,65.78057794448496,22.396124025686902,22.408753521566627,487.59474306381674,436.95,386.30525693618324,14.252371930183882,37.170046889392935
2020-06-02,485.0,17040.745,463.05,441.125,71.8985904991708,23.438189971971383,22.61464081164758,493.14026218332486,441.125,389.10973781667514,15.305773935170748,37.893847432019356
2020-06-03,490.0,9435.845,465.05,445.225,73.00449096269391,24.386381924507987,22.96898903421966,499.0455118890544,445.225,391.40448811094564,14.819647225515695,38.66606224256852
2020-06-04,490.0,8177.19,467.6,449.175,73.00449096269392,24.85135987108788,23.345463201593304,503.9557219740667,449.175,394.3942780259333,14.546815280836002,38.89914957087454
2020-06-05,494.0,8352.917,472.8,453.3,73.95545493951073,25.251540770874556,23.726678715449555,508.53440956505256,453.3,398.06559043494747,14.04347133220486,39.291019947618686
2020-06-08,494.5,9669.114,476.25,457.525,74.07837688721443,25.317192008361246,24.044781374031892,511.7831560689267,457.525,403.26684393107325,13.897509094190227,39.93518324925185
2020-06-09,497.5,7942.284,480.0,462.05,74.84549865006784,25.319429393761254,24.299710977977764,513.7325889444402,462.05,410.36741105555984,13.761972730319497,39.97420382517833
2020-06-10,500.0,6677.972,483.55,466.05,75.49628360815,25.232072024558818,24.486183187293975,516.4631927177796,466.05,415.6368072822204,13.35040324958239,40.158844738216274
