ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,prev_1d_change,prev_3d_change,prev_5d_change,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,additional_win_rate,total_win_rate
2360.TW,0.09922224746145773,0.08298870140226104,-0.04333630913353867,0.34306348014680477,0.08539363794792218,-7.317073170731703,-9.253731343283578,-10.059171597633132,46.19565217391305,46.01418439716311,46.25210847542251,49.57983193277311,47.5609756097561,0,235.6027525890279
2454.TW,0.12830177654938324,0.12037950240675306,-0.29400815164246885,0.34978115815884603,0.2791427248313108,-3.396226415094339,-5.535055350553508,-9.859154929577462,48.09782608695652,47.95744680851064,48.02177408869854,48.739495798319325,48.3739837398374,15,256.19052652232244
6505.TW,-0.024556691568385074,-0.015506376874178116,0.07300168512525129,-0.07339734823798212,-0.07351056074280528,2.1571671694347483,3.593754768371582,4.081636197296623,45.65217391304348,46.09219858156028,45.94094789340694,36.134453781512605,42.68292682926829,15,231.50270099879162
2412.TW,0.011435593212373637,0.01843126367504832,-0.23675440380095872,0.01743210049626588,0.016063553266557624,0.8368200836819994,0.8368200836819994,1.6877637130801704,38.768115942028984,38.99290780141843,38.838515934478934,40.33613445378151,39.83739837398374,0,196.7730725056916
2308.TW,0.10655887208302184,0.10448153919871328,0.5967430195634205,0.3279627482519366,0.05168417826872074,-2.311435523114358,-3.2530120481927716,-7.48847926267281,49.0036231884058,49.17730496453901,49.1267282096465,51.26050420168067,46.7479674796748,0,245.31612804394678
2881.TW,0.08816746090799098,0.08488951680372647,0.7413081273082117,0.31502572319942834,0.1572129400037136,-1.2087895320011977,-1.1001099925342706,-2.705627660947396,48.278985507246375,48.319148936170215,48.817094927436465,57.98319327731093,51.21951219512195,20,274.617934843286
3017.TW,0.3025968233899425,0.29008352732817494,-0.27207745880529377,0.6556523663150413,0.42700243792452436,-2.1739130434782594,-3.8461538461538436,-5.462184873949583,51.449275362318836,51.84397163120567,51.257515239906105,51.26050420168067,52.84552845528455,0,258.6567948903959
3006.TW,0.1382006722997935,0.146851707906128,-0.020365718910937993,0.11033142677962622,0.12101010177115988,0.2036706556540091,2.180683704643749,0.2036706556540091,50.72463768115942,50.723404255319146,50.944635933524694,47.05882352941176,46.34146341463415,15,260.7929648140492
2408.TW,0.0052410323876971995,0.013269821058999617,-0.024120891444104946,0.012178013538746259,-0.006299508742707887,0.1494745468464842,-1.0339689509548222,-4.422251842509706,47.3731884057971,47.90780141843971,47.81685596050677,43.69747899159664,43.49593495934959,15,245.29125973568983
2344.TW,0.060652572863215744,0.07476562387457697,-0.025706967654422028,-0.037209836264726605,-0.03035040537635533,0.0,-0.394478816429622,-2.1317800516462704,46.64855072463768,47.12765957446808,46.948002559733,41.17647058823529,40.65040650406504,15,237.55108995113912
8046.TW,0.1799728307595001,0.15576478756104245,-0.07446147290951692,-0.09138335502214806,-0.10986578209608049,-2.3017902813299185,1.866666666666661,2.4128686327077764,49.81884057971014,49.38297872340426,49.692495426327206,42.857142857142854,47.5609756097561,15,254.31243319634058
3037.TW,0.19233039956129233,0.17049507282964838,0.5170601502598365,0.2551702296821068,0.08179572366861347,-4.872389791183296,7.329842931937169,8.179419525065956,50.09057971014492,49.95744680851064,50.15520086076505,44.537815126050425,44.3089430894309,60,299.04998559490195
2891.TW,0.05545727431476928,0.059795000649562065,-0.015377135408087151,0.26243588437976983,0.15171204022696017,0.0,-1.7264316056723739,-8.074534161490687,48.731884057971016,48.836879432624116,48.97188295700269,55.46218487394958,50.40650406504065,0,252.40933538658805
2882.TW,0.04875381446763357,0.043734504147581496,0.4945442690936147,0.34208862886591945,0.15220828456794128,-1.6845421931201754,-1.2307739257812478,-1.984737483599719,47.64492753623188,47.5177304964539,47.83896608537145,53.78151260504202,47.15447154471545,0,243.9376082678147
2353.TW,0.1107989525353312,0.1094926648897413,-0.2926943396523928,0.06737733995292933,0.1202205843169472,0.4264327115892197,-0.31746354683366285,-1.2578664134624717,49.36594202898551,49.32624113475177,49.46672431516838,45.378151260504204,44.3089430894309,15,252.84600182884074
1513.TW,0.23046457298032244,0.2505143986578135,0.8870362481023556,0.6112732163954456,0.23049100300824168,0.0,-5.095541401273884,-1.9736842105263164,48.55072463768116,49.04255319148936,48.74402988642028,49.57983193277311,45.52845528455284,20,261.4455949329167
8996.TW,0.23874929990851515,0.2963737714483341,-1.0481377315017855,0.5884841306771715,0.12071564587697645,-1.5151515151515138,-4.645476772616142,-15.492957746478876,48.278985507246375,48.787234042553195,48.02272161093243,51.26050420168067,45.52845528455284,0,241.87790064696551
6282.TW,0.07433995690337791,0.07343672266897486,0.1313233683906963,0.03875435758924714,-0.12915636225471386,-0.8905813763757986,-0.38362587477061005,-1.2674270984291525,48.188405797101446,48.37588652482269,48.5286476679176,46.21848739495798,41.46341463414634,15,247.77484201894606
1795.TW,0.12874646009285734,0.12765781245754937,0.050169313777558434,0.024452691500608893,0.027309218971387883,-0.8591065292096189,0.3478260869565153,2.3049645390070816,47.82608695652174,47.92198581560283,47.88460853938896,47.05882352941176,45.9349593495935,15,251.6264641905188
2388.TW,0.18351916421252057,0.12619177955358993,0.0812514649059563,-0.05409261011970712,0.06512213083591353,1.195219123505975,4.098360655737698,2.008032128514059,46.10507246376812,45.11347517730496,45.52164520705497,36.97478991596639,45.9349593495935,35,254.64994211368796
