ticker,daily_return,weekly_return,one_month_return,six_months_return,one_year_return,daily_win_rate,weekly_win_rate,monthly_win_rate,six_months_win_rate,one_year_win_rate,additional_win_rate,total_win_rate
0050.TW,0.07040366689531417,0.06999198630608447,0.33962497935114627,0.33666416086537615,0.16266284665026853,51.4959202175884,51.5531914893617,51.27783909141978,57.14285714285714,54.47154471544715,0,265.94135265667416
5880.TW,0.03981733519018509,0.04169583228315059,0.13419197016950699,0.05606907051933048,-0.0015534470847433737,47.64492753623188,47.730496453900706,47.75164882787345,42.016806722689076,41.86991869918699,15,242.0137982398821
00673R.TW,-0.001997768378048789,-0.015256577896869628,-0.16730156385424289,-0.11738930769728338,-0.05874945008169128,45.42157751586582,45.219858156028366,45.43332470925809,44.537815126050425,43.08943089430895,15,238.70200640151162
00715L.TW,0.10158940264966643,0.1387061667199789,0.21789304085323763,0.2146936705045733,0.12013649505136986,49.9546690843155,50.41134751773049,50.098970305030086,52.10084033613446,52.4390243902439,15,270.00485163345445
00633L.TW,-0.0029590087114093303,-0.0027231331308502677,0.1257736470967825,0.217214926497466,-0.01587877529914708,47.77878513145966,48.056737588652474,48.08009090835606,48.739495798319325,43.90243902439025,0,236.55754845117775
2812.TW,0.06812540170869953,0.0702349889003195,0.3445821087726904,0.20147619709007103,0.11655168341508412,42.30072463768116,42.53191489361702,42.601251949604226,47.89915966386555,44.3089430894309,35,254.64199423419888
00885.TW,-0.01888684529484072,-0.010654897643514166,-0.10546933833536752,0.022612206506936766,-0.015420121754858589,46.70807453416149,46.900584795321635,45.79893701135768,46.21848739495798,47.5609756097561,15,248.18705934555487
00895.TW,0.11287822441507546,0.11742164206271176,0.33965568821616043,0.36494302743779194,0.17945646002504553,52.843273231622746,52.832244008714596,53.14908162627685,60.50420168067227,54.47154471544715,0,273.8003452627336
00662.TW,0.09472577765396623,0.10595804030617817,0.1823920654635658,0.19636302756589863,0.13382514617955582,53.309156844968264,53.53191489361702,53.0710862401534,60.50420168067227,55.6910569105691,15,291.10741656998005
00646.TW,0.06675968032009222,0.07286976548446751,0.21507163088058018,0.1801141893809218,0.11787502320163387,54.125113327289206,54.36879432624113,53.853684025822695,59.66386554621849,56.50406504065041,30,308.5155222662219
00903.TW,0.022986240582852376,0.026806413686055845,0.3287710127741249,0.20679933245348303,0.08011546786607752,49.09090909090909,48.80769230769231,48.934414719329126,55.46218487394958,50.81300813008131,0,253.1082091219614
00683L.TW,0.020562736058004877,0.033757071129789186,-0.08013851706181861,0.033944270456172994,0.051313490101991995,48.14143245693563,48.47517730496454,48.08800741307258,47.05882352941176,50.0,15,256.7634407043845
00642U.TW,0.03248559524813755,0.054290156953783315,0.15889746456219198,0.12509277636608387,0.06257296279768398,49.41069809610154,49.666666666666664,49.558575561610354,52.10084033613446,52.4390243902439,0,253.17580505075694
00770.TW,0.07392801689363342,0.09297742111667513,0.1909946444809675,0.13925028830191802,0.13967576789746847,54.306436990027194,54.5177304964539,54.17195608159766,57.98319327731093,57.3170731707317,15,293.2963900161214
00762.TW,0.1001769199174748,0.11832082730971098,0.19539839268655937,0.22781694061091298,0.15793677312809884,52.58386219401632,52.77304964539007,52.54187072609961,55.46218487394958,54.87804878048781,15,283.2390162199434
0051.TW,0.08752502002939999,0.08597424041220446,0.15020849210161838,0.1530176515121422,0.08087767541260454,56.754306436990035,56.47517730496454,57.01268010451922,57.98319327731093,54.47154471544715,0,282.6969018392318
00851.TW,0.09107649323225765,0.10386020260157698,0.2986825031258592,0.23502985656043335,0.1606791349786626,54.57842248413418,54.75886524822695,54.62633740283981,60.50420168067227,57.72357723577236,15,297.1914040516456
006203.TW,0.07143642485047721,0.07098398745815669,0.3146222116056505,0.3018974513637296,0.14734086150652548,52.22121486854034,52.46099290780141,52.17045056915833,63.02521008403361,56.09756097560976,0,275.9754294051435
00660.TW,0.03571859403759434,0.03308556928518324,0.01608017918344775,0.09769108032262916,0.05042223150385454,51.4052583862194,51.49645390070922,51.73338179881334,54.621848739495796,48.3739837398374,0,257.63092656507513
